"time","Tout"
"2020-05-03 03:10:00",14.89999999
"2020-05-03 03:15:00",15
"2020-05-03 03:20:00",16.09999992
"2020-05-03 03:25:00",14.90000016
"2020-05-03 03:30:00",15.09999999
"2020-05-03 03:35:00",15.29999999
"2020-05-03 03:40:00",15.49999999
"2020-05-03 03:45:00",15.19999994
"2020-05-03 03:50:00",14.60000006
"2020-05-03 03:55:00",15.49999997
"2020-05-03 04:00:00",14.9
"2020-05-03 04:05:00",15.8
"2020-05-03 04:10:00",15.8
"2020-05-03 04:15:00",15.89999999
"2020-05-03 04:20:00",16.39999998
"2020-05-03 04:25:00",16.19999997
"2020-05-03 04:30:00",15.39999994
"2020-05-03 04:35:00",14.80000006
"2020-05-03 04:40:00",15.59999997
"2020-05-03 04:45:00",15.9
"2020-05-03 04:50:00",15.50000001
"2020-05-03 04:55:00",15.69999997
"2020-05-03 05:00:00",15.20000003
"2020-05-03 05:05:00",16.69999995
"2020-05-03 05:10:00",15.59999998
"2020-05-03 05:15:00",15.10000007
"2020-05-03 05:20:00",15.79999993
"2020-05-03 05:25:00",15.30000002
"2020-05-03 05:30:00",16.3
"2020-05-03 05:35:00",16.09999997
"2020-05-03 05:40:00",15.60000007
"2020-05-03 05:45:00",16.09999997
"2020-05-03 05:50:00",16.2
"2020-05-03 05:55:00",15.69999998
"2020-05-03 06:00:00",15.10000003
"2020-05-03 06:05:00",15.39999997
"2020-05-03 06:10:00",15.20000001
"2020-05-03 06:15:00",15.5
"2020-05-03 06:20:00",15.39999998
"2020-05-03 06:25:00",15.10000004
"2020-05-03 06:30:00",15.1
"2020-05-03 06:35:00",15
"2020-05-03 06:40:00",14.8
"2020-05-03 06:45:00",14.80000003
"2020-05-03 06:50:00",15.09999997
"2020-05-03 06:55:00",15.2
"2020-05-03 07:00:00",14.6
"2020-05-03 07:05:00",15.09999999
"2020-05-03 07:10:00",14.90000003
"2020-05-03 07:15:00",14.80000001
"2020-05-03 07:20:00",14.60000001
"2020-05-03 07:25:00",14.80000002
"2020-05-03 07:30:00",15.29999995
"2020-05-03 07:35:00",14.80000005
"2020-05-03 07:40:00",14.8
"2020-05-03 07:45:00",14.6
"2020-05-03 07:50:00",14.6
"2020-05-03 07:55:00",14.6
"2020-05-03 08:00:00",14.6
"2020-05-03 08:05:00",14.89999999
"2020-05-03 08:10:00",14.99999998
"2020-05-03 08:15:00",14.40000004
"2020-05-03 08:20:00",14.79999996
"2020-05-03 08:25:00",14.9
"2020-05-03 08:30:00",15
"2020-05-03 08:35:00",14.5
"2020-05-03 08:40:00",14.5
"2020-05-03 08:45:00",14.5
"2020-05-03 08:50:00",14.20000001
"2020-05-03 08:55:00",14.09999999
"2020-05-03 09:00:00",13.90000004
"2020-05-03 09:05:00",14.29999996
"2020-05-03 09:10:00",14.2
"2020-05-03 09:15:00",14
"2020-05-03 09:20:00",14.00000001
"2020-05-03 09:25:00",14.09999999
"2020-05-03 09:30:00",14.00000001
"2020-05-03 09:35:00",14.19999999
"2020-05-03 09:40:00",14
"2020-05-03 09:45:00",14
"2020-05-03 09:50:00",14
"2020-05-03 09:55:00",14
"2020-05-03 10:00:00",13.9
"2020-05-03 10:05:00",13.69999999
"2020-05-03 10:10:00",13.60000001
"2020-05-03 10:15:00",13.6
"2020-05-03 10:20:00",13.6
"2020-05-03 10:25:00",13.5
"2020-05-03 10:30:00",13.59999999
"2020-05-03 10:35:00",13.50000001
"2020-05-03 10:40:00",13.4
"2020-05-03 10:45:00",13.4
"2020-05-03 10:50:00",13.50000001
"2020-05-03 10:55:00",13.59999999
"2020-05-03 11:00:00",13.50000001
"2020-05-03 11:05:00",13.4
"2020-05-03 11:10:00",13.5
"2020-05-03 11:15:00",13.59999999
"2020-05-03 11:20:00",13.50000001
"2020-05-03 11:25:00",13.4
"2020-05-03 11:30:00",13.5
"2020-05-03 11:35:00",13.3
"2020-05-03 11:40:00",13.3
"2020-05-03 11:45:00",13.39999999
"2020-05-03 11:50:00",13.4
"2020-05-03 11:55:00",13.3
"2020-05-03 12:00:00",13.39999999
"2020-05-03 12:05:00",13.30000001
"2020-05-03 12:10:00",13.3
"2020-05-03 12:15:00",13.2
"2020-05-03 12:20:00",12.9
"2020-05-03 12:25:00",12.9
"2020-05-03 12:30:00",12.70000001
"2020-05-03 12:35:00",12.7
"2020-05-03 12:40:00",12.5
"2020-05-03 12:45:00",12.49999999
"2020-05-03 12:50:00",12.40000001
"2020-05-03 12:55:00",12.4
"2020-05-03 13:00:00",12.3
"2020-05-03 13:05:00",12.29999999
"2020-05-03 13:10:00",12.20000001
"2020-05-03 13:15:00",12.2
"2020-05-03 13:20:00",12.1
"2020-05-03 13:25:00",12
"2020-05-03 13:30:00",12
"2020-05-03 13:35:00",12
"2020-05-03 13:40:00",12
"2020-05-03 13:45:00",11.8
"2020-05-03 13:50:00",11.69999999
"2020-05-03 13:55:00",11.60000001
"2020-05-03 14:00:00",11.40000001
"2020-05-03 14:05:00",11.4
"2020-05-03 14:10:00",11.3
"2020-05-03 14:15:00",11.29999999
"2020-05-03 14:20:00",11.20000001
"2020-05-03 14:25:00",11.3
"2020-05-03 14:30:00",11.2
"2020-05-03 14:35:00",11.19999999
"2020-05-03 14:40:00",11.10000001
"2020-05-03 14:45:00",11.00000001
"2020-05-03 14:50:00",11
"2020-05-03 14:55:00",10.9
"2020-05-03 15:00:00",10.90000001
"2020-05-03 15:05:00",10.99999999
"2020-05-03 15:10:00",10.9
"2020-05-03 15:15:00",10.9
"2020-05-03 15:20:00",10.8
"2020-05-03 15:25:00",10.8
"2020-05-03 15:30:00",10.70000001
"2020-05-03 15:35:00",10.8
"2020-05-03 15:40:00",10.5
"2020-05-03 15:45:00",10.5
"2020-05-03 15:50:00",10.5
"2020-05-03 15:55:00",10.4
"2020-05-03 16:00:00",10.4
"2020-05-03 16:05:00",10.40000001
"2020-05-03 16:10:00",10.49999999
"2020-05-03 16:15:00",10.5
"2020-05-03 16:20:00",10.5
"2020-05-03 16:25:00",10.6
"2020-05-03 16:30:00",10.6
"2020-05-03 16:35:00",10.6
"2020-05-03 16:40:00",10.6
"2020-05-03 16:45:00",10.6
"2020-05-03 16:50:00",10.59999999
"2020-05-03 16:55:00",10.40000003
"2020-05-03 17:00:00",10.4
"2020-05-03 17:05:00",10.5
"2020-05-03 17:10:00",10.4
"2020-05-03 17:15:00",10.50000001
"2020-05-03 17:20:00",10.59999999
"2020-05-03 17:25:00",10.6
"2020-05-03 17:30:00",10.6
"2020-05-03 17:35:00",10.59999999
"2020-05-03 17:40:00",10.50000001
"2020-05-03 17:45:00",10.5
"2020-05-03 17:50:00",10.5
"2020-05-03 17:55:00",10.5
"2020-05-03 18:00:00",10.5
"2020-05-03 18:05:00",10.5
"2020-05-03 18:10:00",10.5
"2020-05-03 18:15:00",10.5
"2020-05-03 18:20:00",10.5
"2020-05-03 18:25:00",10.5
"2020-05-03 18:30:00",10.5
"2020-05-03 18:35:00",10.5
"2020-05-03 18:40:00",10.4
"2020-05-03 18:45:00",10.49999999
"2020-05-03 18:50:00",10.40000001
"2020-05-03 18:55:00",10.4
"2020-05-03 19:00:00",10.3
"2020-05-03 19:05:00",10.3
"2020-05-03 19:10:00",10.3
"2020-05-03 19:15:00",10.3
"2020-05-03 19:20:00",10.3
"2020-05-03 19:25:00",10.2
"2020-05-03 19:30:00",10.2
"2020-05-03 19:35:00",10.2
"2020-05-03 19:40:00",10.3
"2020-05-03 19:45:00",10.1
"2020-05-03 19:50:00",10.1
"2020-05-03 19:55:00",10.1
"2020-05-03 20:00:00",10.19999999
"2020-05-03 20:05:00",10.2
"2020-05-03 20:10:00",10.19999999
"2020-05-03 20:15:00",9.99999998
"2020-05-03 20:20:00",9.80000002
"2020-05-03 20:25:00",9.8
"2020-05-03 20:30:00",9.7
"2020-05-03 20:35:00",9.599999993
"2020-05-03 20:40:00",9.500000013
"2020-05-03 20:45:00",9.300000013
"2020-05-03 20:50:00",9.3
"2020-05-03 20:55:00",9.299999997
"2020-05-03 21:00:00",9.20000001
"2020-05-03 21:05:00",9.29999999
"2020-05-03 21:10:00",9.200000003
"2020-05-03 21:15:00",9.2
